Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,2000,30.86384711,Middle East & North Africa,Low income
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.92781916,Middle East & North Africa,Low income
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Middle East & North Africa,Low income
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,81.44180048,Middle East & North Africa,Low income
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,18.55819952,Middle East & North Africa,Low income
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,2000,2.120850385,Middle East & North Africa,Low income
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,2000,112.7382117,Europe & Central Asia,Upper middle income
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Europe & Central Asia,Upper middle income
Albania,ALB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,28.1,Europe & Central Asia,Upper middle income
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,58.38641704,Europe & Central Asia,Upper middle income
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,41.61358296,Europe & Central Asia,Upper middle income
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,2000,1.098936656,Europe & Central Asia,Upper middle income
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,2000,12.97534282,Middle East & North Africa,Upper middle income
Algeria,DZA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,6.926561,Middle East & North Africa,Upper middle income
Algeria,DZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Middle East & North Africa,Upper middle income
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,40.14787606,Middle East & North Africa,Upper middle income
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,59.85212394,Middle East & North Africa,Upper middle income
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2000,2.690555725,Middle East & North Africa,Upper middle income
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,2000,284.275,East Asia & Pacific,High income
American Samoa,ASM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,East Asia & Pacific,High income
American Samoa,ASM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,East Asia & Pacific,High income
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,11.39241907,East Asia & Pacific,High income
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,88.60758093,East Asia & Pacific,High income
American Samoa,ASM,Urban population growth (annual %),SP.URB.GROW,2000,1.236322008,East Asia & Pacific,High income
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,2000,139.7553191,Europe & Central Asia,High income
