Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,2000,33.30351066,,
Africa Eastern and Southern,AFE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.81589822,,
Africa Eastern and Southern,AFE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,53.07456187,,
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,71.53131202,,
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,28.46868798,,
Africa Eastern and Southern,AFE,Urban population growth (annual %),SP.URB.GROW,2000,3.767122083,,
Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,2000,30.35803778,,
Africa Western and Central,AFW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,14.42540219,,
Africa Western and Central,AFW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,71.4338297,,
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,61.14006694,,
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,38.85993306,,
Africa Western and Central,AFW,Urban population growth (annual %),SP.URB.GROW,2000,4.286135557,,
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,2000,25.50397007,,
Arab World,ARB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,21.99374679,,
Arab World,ARB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,36.75979541,,
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,47.55856942,,
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,52.44143058,,
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,2000,2.947736404,,
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,2000,9.927113958,,
Caribbean small states,CSS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Caribbean small states,CSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,12.74934848,,
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,48.57395829,,
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,51.42604171,,
Caribbean small states,CSS,Urban population growth (annual %),SP.URB.GROW,2000,0.786954151,,
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST,2000,98.14558055,,
Central Europe and the Baltics,CEB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Central Europe and the Baltics,CEB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,2.542226925,,
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,38.5593471,,
Central Europe and the Baltics,CEB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,61.4406529,,
Central Europe and the Baltics,CEB,Urban population growth (annual %),SP.URB.GROW,2000,-0.567665365,,
Early-demographic dividend,EAR,Population density (people per sq. km of land area),EN.POP.DNST,2000,75.6044104,,
Early-demographic dividend,EAR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,16.08240685,,
Early-demographic dividend,EAR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,61.91961823,,
Early-demographic dividend,EAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,38.08038177,,
Early-demographic dividend,EAR,Urban population growth (annual %),SP.URB.GROW,2000,2.888045199,,
East Asia & Pacific,EAS,Population density (people per sq. km of land area),EN.POP.DNST,2000,83.86102839,,
East Asia & Pacific,EAS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
East Asia & Pacific,EAS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
East Asia & Pacific,EAS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,58.36565869,,
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,41.63434131,,
East Asia & Pacific,EAS,Urban population growth (annual %),SP.URB.GROW,2000,3.920714664,,
East Asia & Pacific (excluding high income),EAP,Population density (people per sq. km of land area),EN.POP.DNST,2000,113.8692161,,
East Asia & Pacific (excluding high income),EAP,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
East Asia & Pacific (excluding high income),EAP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
East Asia & Pacific (excluding high income),EAP,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,63.29014311,,
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,36.70985689,,
East Asia & Pacific (excluding high income),EAP,Urban population growth (annual %),SP.URB.GROW,2000,4.828867305,,
East Asia & Pacific (IDA & IBRD countries),TEA,Population density (people per sq. km of land area),EN.POP.DNST,2000,113.2397329,,
East Asia & Pacific (IDA & IBRD countries),TEA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,63.58878472,,
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,36.41121528,,
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population growth (annual %),SP.URB.GROW,2000,4.916807466,,
Euro area,EMU,Population density (people per sq. km of land area),EN.POP.DNST,2000,117.7023663,,
Euro area,EMU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.34161812,,
Euro area,EMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.298248709,,
Euro area,EMU,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,26.5104804,,
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,73.4895196,,
Euro area,EMU,Urban population growth (annual %),SP.URB.GROW,2000,0.591636223,,
Europe & Central Asia,ECS,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.65819586,,
Europe & Central Asia,ECS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.06189093,,
Europe & Central Asia,ECS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,4.967830346,,
Europe & Central Asia,ECS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,31.34302667,,
